编号,性别,年龄,参数1,参数2,参数3,入股时间,参数4,股票,参数5,参数6
440157,Male,38,1,35,1,1-2 Year,No,15060,182,1156
674426,Female,16,1,13,1,< 1 Year,No,12985.5,1064,374
704911,Male,15,1,15,1,< 1 Year,No,21705.5,1120,2516
629434,Male,17,1,53,1,< 1 Year,No,16138.5,1064,816
456742,Female,58,1,42,1,1-2 Year,Yes,1315,182,3672
209657,Female,25,1,35,0,< 1 Year,Yes,1315,1099,4454
600646,Female,21,1,18,1,< 1 Year,No,20969.5,1064,748
251308,Female,37,1,35,0,1-2 Year,Yes,19043,854,1343
706844,Male,42,1,35,1,1-2 Year,No,12786,182,1105
686028,Male,16,1,22,1,< 1 Year,No,11626.5,1064,1564
386098,Male,55,1,36,0,1-2 Year,Yes,1315,182,1734
516924,Female,15,1,32,1,< 1 Year,No,10387,1064,2635
218667,Male,14,1,22,0,< 1 Year,Yes,15950.5,1120,2941
261757,Male,64,1,35,0,1-2 Year,Yes,23585.5,203,1938
451096,Female,16,1,28,1,< 1 Year,No,1315,1064,1139
367998,Male,42,1,35,0,1-2 Year,No,24768.5,182,2380
704368,Male,19,1,35,1,< 1 Year,No,14819,1064,2975
283521,Male,32,1,24,0,1-2 Year,Yes,23406.5,868,918
309524,Female,15,1,38,0,< 1 Year,No,1315,1120,4692
502755,Female,17,1,50,0,< 1 Year,No,13889,1064,4913
286249,Male,42,1,35,0,1-2 Year,Yes,1315,868,3196
650184,Female,17,1,35,1,< 1 Year,No,14867,1064,2261
464776,Female,21,1,28,1,< 1 Year,No,17419.5,1064,4590
400808,Male,19,1,36,1,< 1 Year,No,12222.5,1064,4080
691028,Male,58,1,35,1,1-2 Year,No,37469,854,510
597242,Female,16,1,22,1,< 1 Year,No,14223.5,1120,1275
386837,Female,53,1,39,1,1-2 Year,No,12084,1064,4284
359627,Female,15,1,19,0,< 1 Year,Yes,15837.5,1064,2907
326574,Female,24,1,37,1,< 1 Year,No,1315,1064,4369
603822,Male,33,1,16,1,1-2 Year,No,16060,868,4046
492154,Female,40,1,35,0,1-2 Year,Yes,32213.5,868,187
361631,Female,37,1,48,1,1-2 Year,No,13779.5,868,3400
452446,Female,19,1,22,0,< 1 Year,Yes,14234.5,1064,1615
288807,Male,16,1,22,1,< 1 Year,No,22674.5,1064,425
521206,Male,17,1,17,0,< 1 Year,Yes,16108,1064,697
526567,Female,18,1,35,0,< 1 Year,Yes,19334,1141,3468
532673,Male,35,1,10,1,1-2 Year,No,1315,868,255
441372,Male,37,1,15,1,1-2 Year,No,20182,868,2108
414758,Female,20,1,35,1,< 1 Year,No,14844.5,1064,2210
301960,Male,13,1,57,1,< 1 Year,No,21390,1120,2312
303304,Male,58,1,15,0,> 2 Years,Yes,20492,868,391
524586,Male,28,1,13,1,1-2 Year,No,1315,1064,2210
680510,Male,34,1,22,1,1-2 Year,No,19923.5,182,2669
327094,Male,44,1,54,0,< 1 Year,No,1315,7,4505
236772,Male,22,1,29,1,< 1 Year,No,14498,1064,2516
360198,Female,30,1,11,0,1-2 Year,Yes,12574.5,1085,238
445384,Female,17,1,57,1,< 1 Year,No,17179,1064,3774
268859,Male,18,1,35,0,< 1 Year,Yes,21407.5,1064,1428
672136,Female,51,1,35,0,1-2 Year,Yes,21562,1085,4165
229465,Male,17,1,40,1,< 1 Year,No,14081.5,1064,2108
447356,Female,38,1,10,1,1-2 Year,No,11531,868,3298
203127,Male,40,1,37,0,1-2 Year,Yes,15050,868,1020
406476,Male,70,1,35,0,1-2 Year,Yes,17970.5,854,2040
389462,Male,49,1,48,0,1-2 Year,Yes,18562.5,182,4046
686331,Male,40,1,10,1,1-2 Year,No,24185,868,2771
494917,Male,34,1,35,1,1-2 Year,No,25241,182,1785
306295,Male,16,1,48,0,< 1 Year,Yes,20673.5,1057,3808
545774,Male,16,1,35,0,< 1 Year,Yes,22666,1064,2890
237455,Male,41,1,35,1,1-2 Year,No,14855,182,425
466350,Male,19,1,37,1,< 1 Year,No,19106.5,1064,391
327133,Female,17,1,35,1,< 1 Year,No,17593.5,1064,1275
377431,Male,19,1,30,0,1-2 Year,No,1315,868,1292
262163,Male,40,1,36,0,> 2 Years,Yes,1315,1092,391
395156,Male,59,1,35,1,1-2 Year,No,25185,182,374
402815,Male,22,1,35,1,< 1 Year,No,27247,1064,374
516817,Female,17,1,15,1,< 1 Year,No,29353.5,1064,5032
398741,Male,46,1,46,0,1-2 Year,Yes,1315,1099,2465
310230,Male,34,1,15,1,1-2 Year,No,14380.5,868,1564
499341,Female,33,1,35,1,1-2 Year,No,16294.5,1092,3026
447020,Male,44,1,15,0,1-2 Year,Yes,21751,182,867
495077,Female,45,1,35,0,1-2 Year,Yes,12915.5,182,2482
621657,Female,19,1,35,1,< 1 Year,No,1315,1057,1377
402895,Female,16,1,9,1,< 1 Year,Yes,15180,1064,1411
323967,Male,57,1,35,1,1-2 Year,No,1315,854,1088
248879,Female,17,1,53,1,< 1 Year,No,20212.5,1064,374
300313,Female,14,1,37,1,< 1 Year,No,11674,1064,1309
334297,Male,29,1,53,1,1-2 Year,No,19073.5,868,4845
619124,Male,58,1,9,1,1-2 Year,No,14792.5,182,4454
599518,Female,66,1,35,1,1-2 Year,No,18416,973,3009
297258,Male,67,0,41,0,1-2 Year,Yes,1315,182,1938
412603,Female,14,1,44,0,< 1 Year,Yes,15155,1064,1326
592482,Male,16,1,35,1,< 1 Year,No,14741.5,1064,2312
321152,Male,52,1,11,0,1-2 Year,Yes,19304.5,182,1734
494233,Male,18,1,38,1,< 1 Year,No,1315,1064,4471
588558,Female,21,1,35,1,< 1 Year,No,19969,1064,323
509755,Female,15,1,31,0,< 1 Year,Yes,13380.5,1064,3876
616304,Male,40,1,35,0,> 2 Years,Yes,15524,868,1292
244362,Male,26,1,40,1,1-2 Year,No,17774.5,966,4471
554598,Male,15,1,20,1,< 1 Year,No,19260.5,1120,1581
376583,Male,45,1,35,0,1-2 Year,Yes,22750.5,182,4539
342826,Male,38,1,15,1,1-2 Year,No,1315,210,4080
441916,Female,19,1,32,1,< 1 Year,No,13627.5,1064,2295
409157,Female,44,1,37,1,1-2 Year,No,11412.5,182,3808
661202,Male,17,1,17,1,< 1 Year,No,18520.5,1064,4692
680483,Female,18,1,54,1,< 1 Year,No,14041,182,2091
554096,Male,43,1,37,0,1-2 Year,Yes,20604.5,182,289
408914,Male,15,1,54,0,< 1 Year,Yes,17165,1064,2992
573012,Female,50,1,15,0,1-2 Year,Yes,21148,868,1717
213238,Female,29,1,45,0,1-2 Year,Yes,12099.5,1099,2125
299347,Male,54,1,15,1,1-2 Year,No,27309.5,868,4726
211774,Male,38,1,50,0,1-2 Year,Yes,15523.5,1099,1445
258998,Male,56,1,36,0,1-2 Year,Yes,18770,182,4658
493655,Female,26,1,48,1,< 1 Year,No,11264,1064,4913
340011,Male,51,1,11,0,1-2 Year,Yes,12700.5,1092,3213
361265,Female,27,1,53,1,1-2 Year,No,15052.5,1064,4539
238658,Female,18,1,57,1,< 1 Year,No,15625.5,1064,1513
573485,Female,36,1,48,0,1-2 Year,Yes,12693.5,84,1802
706276,Male,39,1,30,0,> 2 Years,Yes,9760,182,204
386930,Male,36,1,35,0,1-2 Year,Yes,1315,1106,3808
576900,Male,52,1,35,1,1-2 Year,No,32938.5,182,3111
221071,Female,19,1,40,1,< 1 Year,No,15614,1064,1649
261631,Male,50,1,14,1,1-2 Year,No,1315,868,4029
430673,Female,39,1,38,0,1-2 Year,Yes,1315,1036,3077
559827,Male,38,1,15,0,1-2 Year,Yes,21583.5,868,3230
607921,Male,48,1,35,0,1-2 Year,Yes,19501,182,3009
545742,Male,58,1,35,1,1-2 Year,No,19485,364,2380
488652,Female,14,1,15,1,< 1 Year,No,22545,1064,2108
436142,Female,44,1,35,0,1-2 Year,Yes,19059,21,4420
386812,Male,33,1,15,0,> 2 Years,Yes,22140,182,3315
527457,Male,29,1,36,0,1-2 Year,Yes,20643.5,868,3553
500481,Male,50,1,46,0,> 2 Years,Yes,14876,182,986
248620,Male,56,1,15,0,1-2 Year,Yes,17263,210,714
401814,Female,16,1,15,1,< 1 Year,No,35328,1064,3961
422011,Male,21,1,42,1,< 1 Year,No,17248.5,1064,1088
286030,Male,13,1,15,1,< 1 Year,No,24895,1120,2108
472417,Female,35,1,35,0,1-2 Year,Yes,24576.5,217,2839
521347,Female,62,1,53,0,1-2 Year,Yes,15242.5,77,4097
246578,Male,32,1,36,1,1-2 Year,No,11886.5,182,4913
501611,Female,43,1,52,0,1-2 Year,Yes,1315,1099,4097
634385,Male,41,1,54,1,1-2 Year,No,21940.5,868,3604
548889,Female,33,1,10,0,1-2 Year,Yes,11374.5,1099,1785
440941,Male,18,1,37,1,< 1 Year,No,16023.5,1064,3417
534988,Female,58,1,37,1,1-2 Year,No,15671.5,868,1394
459585,Male,36,1,35,0,1-2 Year,Yes,29488.5,868,748
348053,Female,49,1,15,0,1-2 Year,Yes,19797,182,2992
617699,Female,40,1,35,0,> 2 Years,Yes,18925.5,868,4029
578852,Male,16,1,15,1,< 1 Year,No,23609,1064,850
422535,Male,40,1,22,0,1-2 Year,Yes,1315,868,4250
374736,Male,18,1,28,1,< 1 Year,No,1315,1120,3434
572460,Male,56,1,48,0,1-2 Year,No,22275.5,868,1122
426321,Male,14,1,23,1,< 1 Year,No,16373.5,1120,1632
244328,Female,62,1,35,1,1-2 Year,No,19364,854,1139
554552,Male,46,1,15,1,1-2 Year,No,16718,182,1666
223958,Female,17,1,48,1,< 1 Year,No,14087.5,1064,4709
439794,Male,22,1,13,0,1-2 Year,Yes,1315,1092,4199
411141,Female,36,1,35,0,1-2 Year,No,20231,868,2516
321071,Female,25,1,56,1,< 1 Year,No,1315,1120,2312
478998,Male,39,1,57,1,1-2 Year,No,15535,448,3060
207709,Female,28,1,42,0,1-2 Year,Yes,21114.5,1064,867
274140,Female,41,1,15,1,1-2 Year,No,26391.5,182,2958
556160,Female,18,1,15,1,< 1 Year,No,20848,1064,323
697190,Male,34,1,55,1,1-2 Year,No,1315,868,2618
295227,Male,45,1,35,0,1-2 Year,Yes,17119,182,1666
307440,Female,16,1,57,1,< 1 Year,No,11532.5,1120,2057
466289,Male,48,1,52,0,1-2 Year,Yes,15400,868,4437
392321,Male,63,1,35,0,1-2 Year,Yes,29295,854,2737
395515,Male,51,1,35,0,1-2 Year,Yes,14809.5,182,1241
700141,Male,35,1,35,0,1-2 Year,Yes,11986,182,2363
244615,Female,32,1,35,0,1-2 Year,Yes,19399.5,1085,952
366484,Male,46,1,35,0,1-2 Year,Yes,23688,182,3536
320665,Female,17,1,15,0,< 1 Year,Yes,16325,1064,1564
449792,Male,36,1,57,1,1-2 Year,No,1315,28,3978
391010,Female,19,1,35,1,< 1 Year,No,25409.5,1057,476
633520,Female,29,1,13,1,1-2 Year,No,13244.5,1064,3077
320738,Female,41,1,35,0,1-2 Year,Yes,21746.5,182,3570
684833,Male,17,1,15,1,< 1 Year,No,16885,1064,255
620670,Male,54,1,7,1,1-2 Year,No,1315,182,2448
421642,Male,41,1,35,0,1-2 Year,Yes,24256,1092,4148
489559,Male,35,1,35,0,> 2 Years,Yes,25946.5,182,3213
333399,Female,22,1,40,1,< 1 Year,No,18146.5,1064,612
335126,Male,16,1,10,1,< 1 Year,No,16438.5,1064,4420
559999,Male,44,1,45,0,1-2 Year,Yes,1315,1078,408
700961,Male,26,1,23,1,< 1 Year,No,12572.5,1064,204
614938,Male,19,1,25,1,< 1 Year,No,16703,1064,884
506430,Male,23,1,55,0,1-2 Year,Yes,1315,182,1360
620071,Male,41,1,35,1,1-2 Year,No,16709.5,182,221
265240,Female,29,1,57,1,1-2 Year,Yes,17764.5,868,2227
229170,Male,32,1,7,0,1-2 Year,Yes,1315,385,1054
324928,Male,16,1,15,1,< 1 Year,No,34228.5,1064,3434
420384,Female,41,1,35,1,1-2 Year,No,25240,868,1802
699965,Female,15,1,54,1,< 1 Year,No,20278.5,1064,4131
305895,Male,20,1,15,1,< 1 Year,No,16027.5,1120,4012
251079,Male,39,1,44,0,1-2 Year,Yes,15967.5,98,255
490778,Female,19,1,46,0,< 1 Year,Yes,1315,1064,5032
241188,Male,17,1,34,0,< 1 Year,No,1315,1120,1292
262027,Male,17,1,15,1,< 1 Year,No,15145.5,1064,1887
688327,Male,35,1,53,0,1-2 Year,Yes,18500.5,182,3910
351786,Female,19,1,15,0,< 1 Year,Yes,26149,1064,2771
547114,Male,61,1,11,1,1-2 Year,No,14700.5,182,2397
343353,Male,37,1,35,1,1-2 Year,Yes,27971,854,204
514054,Male,52,1,15,1,1-2 Year,No,15729.5,28,2924
464757,Male,41,1,35,0,> 2 Years,Yes,27544,868,2839
705058,Female,43,1,35,0,1-2 Year,Yes,32363,854,561
235955,Female,51,1,10,0,1-2 Year,Yes,16514,182,4216
542065,Male,70,1,36,0,1-2 Year,Yes,12246,182,4148
258484,Male,34,1,35,0,1-2 Year,Yes,12181.5,182,1581
661674,Female,39,1,21,0,1-2 Year,Yes,11089.5,182,5083
260827,Male,16,1,43,0,< 1 Year,Yes,14529,1064,833
578225,Female,16,1,48,1,< 1 Year,No,16138,1064,2839
498325,Female,36,1,35,0,1-2 Year,Yes,23931.5,868,4165
475055,Male,30,1,37,1,1-2 Year,No,20372.5,1064,1411
247069,Male,16,1,35,0,1-2 Year,Yes,20697.5,868,731
659103,Female,18,1,11,1,< 1 Year,No,16531.5,1064,1207
515213,Female,14,1,15,0,< 1 Year,Yes,26657,1120,1190
455258,Male,22,1,21,1,< 1 Year,No,16442,1064,1105
422407,Female,30,1,9,0,1-2 Year,Yes,14576.5,1099,3162
461505,Male,61,1,15,1,1-2 Year,No,34709.5,868,4539
208110,Female,63,1,57,1,1-2 Year,No,17607.5,56,4182
266088,Male,49,1,35,0,1-2 Year,Yes,25660,868,4947
490933,Male,49,1,25,0,1-2 Year,Yes,16984.5,28,2006
414697,Male,17,1,15,1,< 1 Year,No,16906,1064,357
681556,Male,40,1,15,0,> 2 Years,Yes,13826,868,1972
280624,Female,17,1,19,1,< 1 Year,No,14182.5,1064,408
334806,Female,35,1,35,0,> 2 Years,Yes,19034.5,182,782
575737,Male,54,1,15,0,> 2 Years,Yes,20486,868,1751
460838,Male,19,1,35,1,< 1 Year,No,18198.5,1064,1649
276536,Male,15,1,24,0,< 1 Year,Yes,1315,1064,3944
306158,Male,64,1,10,1,1-2 Year,No,18793.5,868,510
310273,Female,15,1,19,1,< 1 Year,No,13805,1120,4930
604562,Female,14,1,53,1,< 1 Year,No,16867.5,1064,357
423610,Female,22,1,18,1,< 1 Year,No,12345.5,1064,4097
583377,Male,29,1,16,0,1-2 Year,Yes,16660.5,868,1326
705676,Male,48,1,15,1,1-2 Year,No,19252.5,182,2074
464331,Male,17,1,35,1,< 1 Year,No,15884,1064,4539
692953,Female,28,1,25,0,1-2 Year,Yes,1315,1099,1836
406409,Male,44,1,35,0,1-2 Year,Yes,16485.5,868,2397
310418,Male,62,1,10,1,1-2 Year,No,1315,868,2567
280374,Female,41,1,16,0,1-2 Year,Yes,1315,868,3247
262689,Female,17,1,51,0,< 1 Year,No,49619,1064,850
417071,Female,30,1,22,0,1-2 Year,Yes,1315,1092,4437
559899,Female,18,1,48,1,< 1 Year,No,1315,1064,2686
375736,Male,52,1,41,0,1-2 Year,Yes,18586,182,2346
665633,Female,22,1,18,0,1-2 Year,Yes,15628,1092,1955
306824,Male,29,1,37,1,1-2 Year,No,10863,1064,1224
460716,Female,62,1,57,1,1-2 Year,No,22019,56,1615
447203,Male,35,1,35,1,1-2 Year,No,14152,868,4318
237042,Female,37,1,53,0,1-2 Year,Yes,13289.5,77,1394
584593,Male,33,1,35,0,1-2 Year,Yes,14308.5,161,2431
328729,Male,49,1,57,0,1-2 Year,Yes,17489,182,4250
202462,Male,48,1,35,0,1-2 Year,Yes,27057.5,385,1938
498140,Female,45,1,57,0,1-2 Year,Yes,1315,1099,4692
551904,Female,17,1,22,0,< 1 Year,Yes,17195.5,1064,3400
267008,Female,21,1,53,1,< 1 Year,No,11664.5,1064,1496
549816,Male,17,1,15,1,< 1 Year,No,26062,1064,3043
277106,Male,16,1,35,1,< 1 Year,No,25831.5,1064,663
662253,Male,19,1,42,1,< 1 Year,No,23282.5,1064,2754
463775,Male,36,1,55,0,1-2 Year,Yes,1315,868,1717
293386,Male,14,1,37,1,< 1 Year,No,12051,1120,4794
404206,Male,50,1,35,0,> 2 Years,Yes,15888.5,868,646
550431,Female,18,1,48,1,< 1 Year,No,24274,1064,425
556081,Female,63,1,23,0,1-2 Year,Yes,18301,868,3570
573225,Male,34,1,35,0,1-2 Year,Yes,16892,868,1360
332791,Male,18,1,53,1,< 1 Year,No,15573.5,182,3553
256149,Female,14,1,10,1,< 1 Year,No,11758.5,1120,4250
341159,Male,39,1,53,0,1-2 Year,Yes,15257.5,868,3842
551809,Female,14,1,36,0,1-2 Year,No,1315,1078,2380
542023,Female,16,1,49,1,< 1 Year,No,15948.5,1120,2873
516870,Female,21,1,43,0,< 1 Year,No,25253.5,1064,4930
547267,Female,41,1,54,0,1-2 Year,Yes,16445.5,182,510
322804,Female,61,1,35,0,> 2 Years,Yes,1315,182,4862
349406,Female,64,1,35,1,1-2 Year,Yes,11479,91,2108
488854,Female,17,1,25,1,< 1 Year,No,13071,1064,2499
518861,Male,23,1,14,1,< 1 Year,No,1315,1064,2601
471389,Female,35,1,7,1,1-2 Year,No,1315,182,663
470192,Male,34,1,35,0,1-2 Year,Yes,26252.5,175,3995
480968,Female,15,1,10,1,< 1 Year,No,18476.5,1064,1921
312645,Male,17,1,19,1,< 1 Year,No,11524.5,1064,1972
614234,Male,37,1,30,0,1-2 Year,Yes,16340,868,2873
279532,Male,41,1,35,0,> 2 Years,Yes,1315,854,4760
333225,Female,14,1,54,0,< 1 Year,No,17430.5,1064,1530
515830,Male,25,1,35,0,< 1 Year,Yes,22224,182,306
341331,Male,38,1,35,0,1-2 Year,Yes,15803.5,182,1173
296400,Male,14,1,10,1,< 1 Year,No,10887.5,1120,595
307282,Male,59,1,35,0,> 2 Years,Yes,21216.5,175,4811
426847,Female,25,1,8,0,< 1 Year,Yes,1315,1078,1683
348042,Male,37,1,15,0,1-2 Year,Yes,15788,868,3672
580746,Male,16,1,50,0,< 1 Year,Yes,14150.5,1064,1615
572977,Male,21,1,37,1,< 1 Year,No,1315,1064,408
276866,Male,46,1,46,0,1-2 Year,Yes,20574,182,2499
253044,Female,20,1,35,1,< 1 Year,No,26379,1064,3077
547288,Female,18,1,51,0,< 1 Year,Yes,18102.5,1064,3077
525754,Male,65,1,35,0,1-2 Year,Yes,26430.5,182,289
438364,Female,52,1,55,0,1-2 Year,Yes,1315,105,680
518957,Female,31,1,33,0,1-2 Year,No,1315,1064,1700
476589,Female,54,1,35,1,1-2 Year,Yes,36127.5,217,340
508107,Female,32,1,22,1,1-2 Year,No,22842,1064,1088
298307,Male,49,1,53,0,1-2 Year,Yes,13001.5,182,2040
218693,Female,19,1,25,1,< 1 Year,No,11855,1064,3740
318437,Male,52,1,35,0,1-2 Year,Yes,12648,182,697
269648,Male,17,1,10,1,< 1 Year,No,14585.5,1064,1122
300234,Female,34,1,15,0,1-2 Year,Yes,19146.5,217,3077
519340,Male,55,1,42,0,> 2 Years,Yes,22112,182,2295
282256,Female,19,1,37,1,< 1 Year,No,1315,1120,3247
260485,Female,19,1,48,1,< 1 Year,No,1315,1064,289
407782,Male,45,1,15,1,1-2 Year,No,14977,182,3502
564215,Female,37,1,24,1,1-2 Year,No,26087.5,868,4743
544147,Female,64,1,35,0,1-2 Year,No,18777,868,1632
259584,Male,14,1,40,1,< 1 Year,No,17932,1064,4505
637576,Male,73,1,25,1,1-2 Year,No,20664.5,868,3553
384519,Female,41,1,55,0,1-2 Year,Yes,1315,1078,2414
298784,Female,35,1,36,0,1-2 Year,Yes,1315,175,2414
568530,Male,17,1,28,1,< 1 Year,No,15441,1064,850
673781,Female,40,1,35,0,1-2 Year,Yes,1315,868,2567
235319,Male,50,1,35,0,1-2 Year,Yes,22263.5,210,3791
554917,Female,55,1,35,0,1-2 Year,Yes,20632,182,1836
254670,Female,21,1,24,0,< 1 Year,Yes,14595.5,1064,1717
631949,Female,15,1,53,1,1-2 Year,No,1315,1141,527
398966,Male,16,1,36,1,< 1 Year,No,19439.5,1064,4811
497011,Female,43,1,35,1,1-2 Year,No,28011.5,854,4505
408568,Female,18,1,28,1,< 1 Year,No,17580,1064,425
262725,Female,50,1,48,0,1-2 Year,Yes,15242,868,3196
496496,Male,52,1,46,0,> 2 Years,Yes,14186.5,182,5066
485313,Male,32,1,35,1,1-2 Year,No,10839,868,4845
480814,Female,28,1,31,1,1-2 Year,Yes,14640.5,1085,1836
584994,Male,38,1,35,0,1-2 Year,Yes,27988.5,182,4896
233035,Female,30,1,53,1,1-2 Year,No,1315,77,1020
385789,Female,70,1,35,0,1-2 Year,Yes,25677,364,2329
270161,Male,43,1,15,0,1-2 Year,Yes,1315,49,1496
584383,Female,16,1,15,1,< 1 Year,No,17020,1064,527
697399,Female,33,1,35,0,1-2 Year,Yes,34388.5,854,5083
381092,Female,15,1,40,1,< 1 Year,No,14475,1064,1377
394244,Male,35,1,54,0,1-2 Year,Yes,1315,112,4250
453727,Male,18,1,10,1,< 1 Year,No,27053,1064,3978
596603,Male,32,1,35,0,1-2 Year,Yes,19218.5,854,4743
650135,Male,18,1,57,1,< 1 Year,No,20796.5,1064,4182
286096,Male,41,1,35,1,1-2 Year,Yes,21101.5,182,1428
362040,Male,41,1,37,1,1-2 Year,No,20624,182,2992
467706,Male,41,1,35,0,1-2 Year,Yes,18017,868,323
524888,Male,32,1,35,1,1-2 Year,No,23457.5,182,3519
414270,Male,41,1,37,0,1-2 Year,Yes,15773,182,3179
454938,Male,37,1,35,0,1-2 Year,No,18171.5,182,3689
568853,Female,30,1,16,1,1-2 Year,No,13355,1064,2720
325053,Male,19,1,24,0,< 1 Year,Yes,11327.5,1064,2414
430173,Male,22,1,22,1,< 1 Year,No,38185.5,1064,1853
275179,Male,22,1,35,0,< 1 Year,Yes,31346,1064,4811
485683,Male,73,1,35,1,1-2 Year,No,14339,868,2244
373261,Female,32,1,36,1,1-2 Year,No,15505.5,182,3621
263507,Female,44,1,53,0,1-2 Year,Yes,11795,868,918
661659,Male,23,1,17,1,< 1 Year,No,10670.5,1064,3315
570011,Female,14,1,43,0,< 1 Year,Yes,18308,1064,4029
301265,Male,15,1,22,0,< 1 Year,No,17824.5,1064,1836
242972,Female,14,1,53,0,< 1 Year,No,14925.5,1120,3723
246570,Male,52,1,35,0,1-2 Year,Yes,23657.5,868,646
397332,Male,30,1,15,0,1-2 Year,Yes,20564,868,4726
620017,Female,18,1,15,1,< 1 Year,No,1315,1064,5015
375489,Female,65,1,48,1,1-2 Year,No,18664,182,408
381952,Male,49,1,54,1,1-2 Year,No,17706,182,1870
323040,Male,55,1,35,0,1-2 Year,Yes,34052.5,854,408
700229,Female,18,1,46,1,< 1 Year,No,1315,1064,1666
527930,Female,16,1,35,0,< 1 Year,Yes,29251.5,1064,3519
623346,Female,17,1,13,1,< 1 Year,No,15904,1064,5032
668346,Male,58,1,53,1,1-2 Year,No,1315,182,833
287368,Female,15,1,15,0,< 1 Year,Yes,21618,1120,1445
224113,Female,13,1,53,1,< 1 Year,No,10359.5,1120,2754
230867,Male,15,1,9,0,< 1 Year,No,15508.5,1064,3587
213973,Female,20,1,35,1,< 1 Year,No,40280.5,1064,2652
227908,Female,19,1,57,1,< 1 Year,No,11527.5,1064,1394
367933,Female,20,1,44,0,< 1 Year,Yes,13791.5,1064,2652
426656,Female,15,1,20,0,< 1 Year,No,14160,1064,2907
418187,Male,41,1,18,1,1-2 Year,No,10306,182,1054
677809,Male,40,1,35,0,1-2 Year,Yes,23398,182,1037
370014,Male,29,1,35,0,1-2 Year,Yes,21274.5,182,1275
542712,Female,48,1,15,0,> 2 Years,Yes,1315,1092,1955
413007,Female,19,1,22,0,< 1 Year,Yes,20442.5,1064,2040
327864,Female,18,1,22,1,< 1 Year,No,18795,182,799
670791,Female,44,1,48,0,1-2 Year,Yes,12068,1050,3009
283392,Female,26,1,53,1,< 1 Year,No,1315,1064,2312
411659,Female,16,1,41,1,< 1 Year,Yes,12200.5,182,4046
240390,Male,48,1,40,0,1-2 Year,Yes,1315,182,510
230683,Female,34,1,53,0,1-2 Year,Yes,1315,1064,629
326966,Male,36,1,25,0,> 2 Years,Yes,1315,1099,2567
305126,Female,14,1,15,1,< 1 Year,No,18009.5,1120,4029
260278,Male,13,1,15,0,< 1 Year,Yes,15401.5,1120,4301
235203,Male,21,1,48,1,< 1 Year,No,17930,1064,1479
551836,Female,16,1,54,0,< 1 Year,Yes,14685.5,1064,4301
348931,Female,17,1,21,1,< 1 Year,No,11912,1064,4539
202578,Female,16,1,48,1,< 1 Year,No,16930,1064,3689
459114,Female,18,1,35,0,< 1 Year,Yes,13819.5,1064,4216
599581,Male,34,1,53,0,1-2 Year,Yes,13562,868,3026
235928,Male,34,1,27,0,1-2 Year,No,1315,868,714
582805,Male,14,1,22,0,< 1 Year,No,11756,1064,3417
579118,Female,53,1,15,1,1-2 Year,Yes,16154,182,1003
543129,Male,17,1,50,1,< 1 Year,No,1315,1064,2091
578355,Female,36,1,35,0,1-2 Year,Yes,24645.5,868,5032
405785,Female,17,1,43,1,< 1 Year,No,16918,1064,2584
258464,Female,16,1,37,1,< 1 Year,No,13135,1064,3094
383306,Male,25,1,49,0,< 1 Year,Yes,18483.5,182,3213
405996,Male,39,1,35,0,1-2 Year,Yes,18902,364,1938
316914,Male,47,1,48,0,> 2 Years,Yes,22259,182,1105
439535,Female,19,1,44,1,< 1 Year,No,15529.5,1064,3332
595343,Male,17,1,48,1,< 1 Year,No,1315,1064,4556
386687,Male,15,1,42,1,< 1 Year,No,14491.5,1064,748
430265,Female,15,1,48,1,< 1 Year,No,19682,1064,4488
214420,Female,14,1,18,1,< 1 Year,No,14114,1064,3315
525566,Male,40,1,35,0,1-2 Year,Yes,22590,182,306
529565,Male,15,1,35,1,< 1 Year,Yes,1315,1064,2941
609576,Female,19,1,31,1,< 1 Year,No,9472.5,1064,187
520724,Female,63,1,57,1,1-2 Year,No,17933,56,1071
451438,Female,37,1,35,0,1-2 Year,Yes,20316.5,420,3145
570499,Male,22,1,25,1,< 1 Year,No,13906.5,1064,4284
309329,Male,14,1,10,1,< 1 Year,No,12119.5,1064,2193
560229,Female,56,1,27,0,1-2 Year,Yes,1315,182,4284
629199,Female,22,1,37,1,< 1 Year,No,12029.5,1064,1683
519713,Male,34,1,35,0,1-2 Year,Yes,32221,182,2193
573116,Female,17,1,21,0,< 1 Year,No,14049,1064,5049
249483,Female,45,1,29,0,1-2 Year,Yes,18765,182,3978
656062,Female,34,1,53,1,1-2 Year,No,16517,868,2176
234454,Male,31,1,35,1,1-2 Year,No,14023.5,868,374
410183,Male,32,1,35,0,1-2 Year,Yes,22312.5,868,493
212793,Female,39,1,35,0,> 2 Years,Yes,24008,868,2431
647687,Female,28,1,43,0,1-2 Year,Yes,1315,868,2312
385315,Female,19,1,43,1,< 1 Year,No,13361.5,1064,3009
346705,Male,38,1,48,1,1-2 Year,No,11682,182,3162
345132,Female,20,1,57,1,< 1 Year,No,7980.5,1064,629
426420,Male,53,1,35,0,> 2 Years,Yes,26555.5,91,4641
338097,Female,51,1,28,1,1-2 Year,No,16445,182,2652
275579,Male,53,1,35,1,1-2 Year,No,22101.5,1064,3842
410463,Male,13,1,15,0,< 1 Year,Yes,16697,1120,2448
673667,Female,39,1,35,0,> 2 Years,Yes,20051.5,868,4641
243797,Female,16,1,22,0,< 1 Year,No,13633,1064,2737
576669,Male,13,1,27,0,< 1 Year,Yes,1315,1120,1190
